Date,Round,Venue,Opponent,GF,GA
13-08-2008,Third qualifying round,Home,Wisła Kraków,4,0
26-08-2008,Third qualifying round,Away,Wisła Kraków,0,1
16-09-2008,Group stage,Home,Sporting CP,3,1
01-10-2008,Group stage,Away,Shakhtar,2,1
22-10-2008,Group stage,Away,Basel,5,0
04-11-2008,Group stage,Home,Basel,1,1
26-11-2008,Group stage,Away,Sporting CP,5,2
09-12-2008,Group stage,Home,Shakhtar,2,3
24-02-2009,Round of 16,Away,Lyon,1,1
11-03-2009,Round of 16,Home,Lyon,5,2
08-04-2009,Quarter-finals,Home,Bayern Munich,4,0
14-04-2009,Quarter-finals,Away,Bayern Munich,1,1
28-04-2009,Semi-finals,Home,Chelsea,0,0
06-05-2009,Semi-finals,Away,Chelsea,1,1
27-05-2009,Final,Neutral,Manchester Utd,2,0
