Date,Round,Venue,Opponent,GF,GA
18-09-2019,Group stage,Home,Red Star,3,0
01-10-2019,Group stage,Away,Tottenham,7,2
22-10-2019,Group stage,Away,Olympiacos,3,2
06-11-2019,Group stage,Home,Olympiacos,2,0
26-11-2019,Group stage,Away,Red Star,6,0
11-12-2019,Group stage,Home,Tottenham,3,1
25-02-2020,Round of 16,Away,Chelsea,3,0
08-08-2020,Round of 16,Home,Chelsea,4,1
14-08-2020,Quarter-finals,Neutral,Barcelona,8,2
19-08-2020,Semi-finals,Neutral,Lyon,3,0
23-08-2020,Final,Neutral,Paris S-G,1,0
